state,speaker
Alabama,Richard Shelby
Alabama,Tommy Tuberville
Alaska,Lisa Murkowski
Alaska,Dan Sullivan
Arizona,Kyrsten Sinema
Arizona,Mark Kelly
Arkansas,John Boozman
Arkansas,Tom Cotton
California,Dianne Feinstein
California,Alex Padilla
Colorado,Michael Bennet
Colorado,John Hickenlooper
Connecticut,Richard Blumenthal
Connecticut,Chris Murphy
Delaware,Tom Carper
Delaware,Chris Coons
Florida,Marco Rubio
Florida,Rick Scott
Georgia,Jon Ossoff
Georgia,Raphael Warnock
Hawaii,Brian Schatz
Hawaii,Mazie Hirono
Idaho,Mike Crapo
Idaho,Jim Risch
Illinois,Dick Durbin
Illinois,Tammy Duckworth
Indiana,Todd Young
Indiana,Mike Braun
Iowa,Chuck Grassley
Iowa,Joni Ernst
Kansas,Jerry Moran
Kansas,Roger Marshall
Kentucky,Mitch McConnell
Kentucky,Rand Paul
Louisiana,Bill Cassidy
Louisiana,John Kennedy
Maine,Susan Collins
Maine,Angus King
Maryland,Ben Cardin
Maryland,Chris Van Hollen
Massachusetts,Elizabeth Warren
Massachusetts,Ed Markey
Michigan,Debbie Stabenow
Michigan,Gary Peters
Minnesota,Amy Klobuchar
Minnesota,Tina Smith
Mississippi,Roger Wicker
Mississippi,Cindy Hyde-Smith
Missouri,Roy Blunt
Missouri,Josh Hawley
Montana,Jon Tester
Montana,Steve Daines
Nebraska,Deb Fischer
Nebraska,Ben Sasse
Nevada,Catherine Cortez Masto
Nevada,Jacky Rosen
New Hampshire,Jeanne Shaheen
New Hampshire,Maggie Hassan
New Jersey,Bob Menendez
New Jersey,Cory Booker
New Mexico,Martin Heinrich
New Mexico,Ben Ray Luján
New York,Chuck Schumer
New York,Kirsten Gillibrand
North Carolina,Richard Burr
North Carolina,Thom Tillis
North Dakota,John Hoeven
North Dakota,Kevin Cramer
Ohio,Sherrod Brown
Ohio,Rob Portman
Oklahoma,Jim Inhofe
Oklahoma,James Lankford
Oregon,Ron Wyden
Oregon,Jeff Merkley
Pennsylvania,Bob Casey Jr.
Pennsylvania,Pat Toomey
Rhode Island,Jack Reed
Rhode Island,Sheldon Whitehouse
South Carolina,Lindsey Graham
South Carolina,Tim Scott
South Dakota,John Thune
South Dakota,Mike Rounds
Tennessee,Marsha Blackburn
Tennessee,Bill Hagerty
Texas,John Cornyn
Texas,Ted Cruz
Utah,Mike Lee
Utah,Mitt Romney
Vermont,Patrick Leahy
Vermont,Bernie Sanders
Virginia,Mark Warner
Virginia,Tim Kaine
Washington,Patty Murray
Washington,Maria Cantwell
West Virginia,Joe Manchin
West Virginia,Shelley Moore Capito
Wisconsin,Ron Johnson
Wisconsin,Tammy Baldwin
Wyoming,John Barrasso
Wyoming,Cynthia Lummis
Illinois,Aaron Schock
California,Adam B. Schiff
Illinois,Adam Kinzinger
Washington,Adam Smith
Nebraska,Adrian Smith
Texas,Al Green
Florida,Alan Grayson
Mississippi,Alan Nunnelee
California,Alan S. Lowenthal
New Jersey,Albio Sires
Florida,Alcee L. Hastings
West Virginia,Alexander X. Mooney
North Carolina,Alma S. Adams
California,Ami Bera
Florida,Ander Crenshaw
Indiana,André Carson
Kentucky,Andy Barr
Maryland,Andy Harris
Arizona,Ann Kirkpatrick
New Hampshire,Ann M. Kuster
Missouri,Ann Wagner
California,Anna G. Eshoo
American Samoa,Aumua Amata Coleman Radewagen
Georgia,Austin Scott
Virginia,Barbara Comstock
California,Barbara Lee
Georgia,Barry Loudermilk
Mississippi,Bennie G. Thompson
Texas,Beto O’Rourke
Minnesota,Betty McCollum
Texas,Bill Flores
Illinois,Bill Foster
Michigan,Bill Huizenga
Ohio,Bill Johnson
New Jersey,"Bill Pascrell, Jr."
Florida,Bill Posey
Pennsylvania,Bill Shuster
Missouri,Billy Long
Missouri,Blaine Luetkemeyer
Texas,Blake Farenthold
Ohio,Bob Gibbs
Virginia,Bob Goodlatte
Illinois,Bobby L. Rush
New Jersey,Bonnie Watson Coleman
Nebraska,Brad Ashford
Ohio,Brad R. Wenstrup
California,Brad Sherman
Alabama,Bradley Byrne
Michigan,Brenda L. Lawrence
Pennsylvania,Brendan F. Boyle
Kentucky,Brett Guthrie
Texas,Brian Babin
New York,Brian Higgins
Maine,Bruce Poliquin
Arkansas,Bruce Westerman
Maryland,C. A. Dutch Ruppersberger
Michigan,Candice S. Miller
Florida,Carlos Curbelo
New York,Carolyn B. Maloney
Washington,Cathy McMorris Rodgers
Louisiana,Cedric L. Richmond
Pennsylvania,Chaka Fattah
New York,Charles B. Rangel
Tennessee,"Charles J. ""Chuck"" Fleischmann"
Louisiana,Charles W. Boustany Jr.
Pennsylvania,Charles W. Dent
Maine,Chellie Pingree
Illinois,Cheri Bustos
New York,Chris Collins
Utah,Chris Stewart
New Jersey,Christopher H. Smith
New York,Christopher P. Gibson
Hawaii,Colleen Hanabusa
Minnesota,Collin C. Peterson
Florida,Corrine Brown
Nevada,Cresent Hardy
Florida,Curt Clawson
Wyoming,Cynthia M. Lummis
Michigan,Dan Benishek
Washington,Dan Newhouse
California,Dana Rohrabacher
Illinois,Daniel Lipinski
New York,"Daniel M. Donovan, Jr."
Michigan,Daniel T. Kildee
Florida,Daniel Webster
Illinois,Danny K. Davis
Illinois,Darin LaHood
California,Darrell E. Issa
Virginia,Dave Brat
Michigan,David A. Trott
West Virginia,David B. McKinley
North Carolina,David E. Price
Washington,David G. Reichert
California,David G. Valadao
Iowa,David Loebsack
Rhode Island,David N. Cicilline
Ohio,David P. Joyce
Tennessee,David P. Roe
North Carolina,David Rouzer
Arizona,David Schweikert
Georgia,David Scott
Florida,David W. Jolly
Iowa,David Young
Michigan,Debbie Dingell
Florida,Debbie Wasserman Schultz
Florida,Dennis A. Ross
Washington,Denny Heck
Washington,Derek Kilmer
California,Devin Nunes
Colorado,Diana DeGette
Tennessee,Diane Black
Nevada,Dina Titus
Alaska,Don Young
New Jersey,"Donald M. Payne, Jr."
New Jersey,Donald Norcross
Virginia,"Donald S. Beyer, Jr."
Maryland,Donna F. Edwards
California,Doris O. Matsui
Georgia,Doug Collins
California,Doug LaMalfa
Colorado,Doug Lamborn
California,Duncan Hunter
Pennsylvania,Dwight Evans
Virginia,E. Scott Rigell
